"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006066","alcohol metabolic process","68/1283","368/18805",0.184782608695652,2.70836863329832,8.95585352238277,3.46546403683593e-14,2.01031568776852e-10,1.43470211125008e-10,"LEP/RBP4/AKR1C2/AKR1C1/ADH1B/PCK1/AKR1C3/RETSAT/QKI/ACADL/CAT/ALDH2/EDNRB/CEBPA/PLPP3/ITPK1/OSBPL1A/ACAA2/CYB5R3/PLPP1/DHRS3/ADH1C/HMGCR/ALDH3A2/IGF1/GNAI1/IDH2/PLPP2/DHDDS/LEPR/RDH11/MSMO1/PLA2G4A/ALDH1A1/DAB2/VLDLR/DGAT1/SPTSSA/ABCA1/NFE2L1/GCH1/SREBF2/LIPE/ALDH3B2/P2RY1/APP/NR0B2/QDPR/GK/FDPS/PTS/INPP4B/ABCA5/IDH1/APOC1/TM7SF2/PNPLA2/DHCR24/CYP3A4/DKK3/LSS/FGFR1/ASAH1/DPM2/SQLE/BMP2/TSKU/SULT1B1",68
"GO:0001659","temperature homeostasis","42/1283","184/18805",0.228260869565217,3.34563184113321,8.65194741670085,2.51202792306986e-12,7.28613699086412e-09,5.1998978007546e-09,"LEP/FABP4/ADIPOQ/G0S2/CD36/CAV1/QKI/EPAS1/ACADL/PTGER3/CXCR4/ACSL1/EDNRB/CIDEA/ADAMTS5/HADH/NPR3/LAMA4/TFE3/FOXO1/FABP5/PLCL2/ADIPOR2/ABHD6/LEPR/SMARCA4/NOVA1/ALDH1A1/GPX1/EBF2/SCD/CEBPB/HSF1/PEMT/TLE3/TLR4/NR1H3/LPIN1/EGR1/ABAT/ADAM17/ID1",42
"GO:1903829","positive regulation of protein localization","78/1283","499/18805",0.156312625250501,2.29108255482126,7.90959357190163,4.1304616269039e-12,7.442336678212e-09,5.31137284050986e-09,"LEP/RBP4/SORBS1/PPARG/FERMT2/ITGB1BP1/MYOM1/SPTBN1/EPB41L2/CDH1/LIMK2/SFN/TMEM97/SOX4/ANK3/PRKCI/AMOTL2/IRS2/IGF1/GNAI1/EGFR/CDK1/XBP1/LGALS3/ABLIM3/CCT2/CCT6A/RER1/ASPH/CD81/STOM/TRIM8/ATP2B4/SREBF2/CCT3/PPP3CB/AGR2/FRMD4A/MYH10/RAN/RTN4/JAK1/ACSL3/APP/NR0B2/PINK1/TLR4/SRI/TMEM132A/FYN/PECAM1/SH3GLB1/EIF2AK3/CAMK1/KCNB1/FARP1/SERP1/CHP1/PIK3R1/FZD5/ANG/CORO2B/ECT2/ABAT/MIEF1/EPHA3/TCF7L2/SORL1/GPSM2/RAPGEF3/CLIP3/ARIH2/HYAL2/NEDD9/EZR/ROCK2/CCT5/KIF20B",78
"GO:0072001","renal system development","60/1283","336/18805",0.178571428571429,2.61733103217904,8.09456433304199,5.13176119856025e-12,7.442336678212e-09,5.31137284050986e-09,"RBP4/ADIPOQ/CD24/EPCAM/TACSTD2/CDKN1C/CAT/SDC1/ANGPT1/GATA3/EDNRB/TFAP2A/EZH2/SOX4/MME/SDC4/KCNJ8/COL4A1/ASS1/SERPINF1/ACAT1/SOX9/KANK2/TEK/PCSK5/FGF2/ZBTB16/RGN/GPC3/IL6R/ADAMTS1/DLG5/SMAD6/BCL2/PROM1/TNS2/AQP1/PLXND1/CENPF/AGTR1/SMAD7/CTNNB1/PECAM1/NID1/LAMB2/GLI2/TFAP2B/SPRY1/WFS1/EGR1/CALB1/FGFR1/RET/ITGB3/STAT1/EMX2/BMP2/HYAL2/SMAD5/PTPRO",60
"GO:0070482","response to oxygen levels","62/1283","358/18805",0.173184357541899,2.53837244238146,7.95218989813768,8.83265891919918e-12,1.02476508780549e-08,7.31344158509692e-09,"LEP/ADIPOQ/CD24/ANGPTL4/PPARG/RGCC/CAV1/EPAS1/CAT/CXCR4/TGFBR3/ADM/FZD4/ACAA2/SOX4/ATP6V1G1/KCNJ8/FOXO1/AQP3/BNIP3L/TEK/HIPK2/CRYAB/MYB/CCNA2/ALAD/FOS/SLC11A2/POSTN/BNIP3/RAD21/LMNA/TWIST1/DDR2/LPAR1/HK2/SLC29A1/HSF1/BCL2/PMAIP1/AQP1/CITED2/RTN4/DDAH1/COL1A1/PINK1/STC2/MAP3K7/HILPDA/PLOD2/ZEB2/ANG/EGR1/ABAT/MIEF1/AK4/BIRC2/KCNK2/BMP2/INHBA/ADAM17/ROCK2",62
"GO:0001666","response to hypoxia","57/1283","316/18805",0.180379746835443,2.64383565022643,7.97428652670723,1.15580779205312e-11,1.05611234270035e-08,7.5371575569375e-09,"LEP/ADIPOQ/CD24/ANGPTL4/PPARG/RGCC/CAV1/EPAS1/CAT/CXCR4/TGFBR3/ADM/FZD4/ACAA2/SOX4/KCNJ8/AQP3/BNIP3L/TEK/HIPK2/CRYAB/MYB/CCNA2/ALAD/FOS/SLC11A2/POSTN/BNIP3/RAD21/LMNA/TWIST1/DDR2/HK2/SLC29A1/HSF1/BCL2/PMAIP1/AQP1/CITED2/RTN4/DDAH1/PINK1/STC2/MAP3K7/HILPDA/PLOD2/ANG/EGR1/ABAT/MIEF1/AK4/BIRC2/KCNK2/BMP2/INHBA/ADAM17/ROCK2",57
"GO:0031589","cell-substrate adhesion","62/1283","361/18805",0.171745152354571,2.51727793455004,7.87658198198164,1.27439862073822e-11,1.05611234270035e-08,7.5371575569375e-09,"SORBS1/TACSTD2/CD36/KANK1/FERMT2/ITGB1BP1/ANGPT1/ECM2/DLC1/DDR1/ITGA7/FZD4/SVEP1/SDC4/PTPRK/VWF/PARVA/EGFL6/PTEN/TEK/FN1/LAMC1/PPM1F/ARHGEF7/POSTN/DAB2/SMAD6/RRAS/BCL2/FBLN5/ITGA1/CEACAM6/AGR2/MDK/LIMCH1/DUSP3/TYRO3/S100A10/COL1A1/EFEMP2/CTNNB1/APOD/SGCE/NID1/FZD7/PARVB/FBLN2/VAMP3/PIK3R1/CORO2B/ANXA2/EPHA3/ITGB4/MAP4K4/HRG/ITGB3/EPHB1/FAM107A/NEDD9/PTPRO/ROCK2/LYVE1",62
"GO:0036293","response to decreased oxygen levels","58/1283","330/18805",0.175757575757576,2.57608824015683,7.81613202245118,2.26537457272779e-11,1.56242384284773e-08,1.11505511280634e-08,"LEP/ADIPOQ/CD24/ANGPTL4/PPARG/RGCC/CAV1/EPAS1/CAT/CXCR4/TGFBR3/ADM/FZD4/ACAA2/SOX4/KCNJ8/AQP3/BNIP3L/TEK/HIPK2/CRYAB/MYB/CCNA2/ALAD/FOS/SLC11A2/POSTN/BNIP3/RAD21/LMNA/TWIST1/DDR2/HK2/SLC29A1/HSF1/BCL2/PMAIP1/AQP1/CITED2/RTN4/DDAH1/PINK1/STC2/MAP3K7/HILPDA/PLOD2/ZEB2/ANG/EGR1/ABAT/MIEF1/AK4/BIRC2/KCNK2/BMP2/INHBA/ADAM17/ROCK2",58
"GO:0120161","regulation of cold-induced thermogenesis","36/1283","151/18805",0.23841059602649,3.49439692773043,8.32750039221602,2.42403285392683e-11,1.56242384284773e-08,1.11505511280634e-08,"LEP/FABP4/ADIPOQ/G0S2/CD36/CAV1/QKI/EPAS1/ACADL/CXCR4/ACSL1/CIDEA/ADAMTS5/HADH/NPR3/LAMA4/TFE3/FABP5/PLCL2/ADIPOR2/ABHD6/LEPR/SMARCA4/NOVA1/ALDH1A1/EBF2/SCD/CEBPB/HSF1/PEMT/TLE3/TLR4/NR1H3/LPIN1/ADAM17/ID1",36
"GO:0106106","cold-induced thermogenesis","36/1283","152/18805",0.236842105263158,3.47140747425852,8.27824768002312,2.97126714975956e-11,1.72363207357552e-08,1.23010460000046e-08,"LEP/FABP4/ADIPOQ/G0S2/CD36/CAV1/QKI/EPAS1/ACADL/CXCR4/ACSL1/CIDEA/ADAMTS5/HADH/NPR3/LAMA4/TFE3/FABP5/PLCL2/ADIPOR2/ABHD6/LEPR/SMARCA4/NOVA1/ALDH1A1/EBF2/SCD/CEBPB/HSF1/PEMT/TLE3/TLR4/NR1H3/LPIN1/ADAM17/ID1",36
