"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","48/785","232/9392",0.206896551724138,2.47537887107402,6.87170745721159,2.45837483201704e-09,8.33389068053777e-07,6.8058166402156e-07,"2273/1832/8736/6382/6711/481/3679/477/161176/6385/1756/1282/288/6640/476/7431/6445/2335/1284/4000/2274/3672/25777/4628/1634/1730/10529/1301/1277/1837/8082/7171/287/8910/4811/3908/2199/6709/23002/1278/3691/6645/3690/6383/23345/8572/10398/10611",48
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","22/785","76/9392",0.289473684210526,3.463359034529,6.51155357635243,1.35509018778626e-07,2.29687786829771e-05,1.87573010204098e-05,"4023/2167/9370/5346/10580/51129/948/5468/5105/33/2180/2171/4199/6256/364/123/6319/2181/2710/10062/10873/51",22
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","38/785","204/9392",0.186274509803922,2.2286499313101,5.35793694530926,1.86924170029779e-06,0.000211224312133651,0.000172494935852042,"858/857/3316/6382/8322/6385/288/3479/1956/2247/7078/2335/5781/2719/22800/6654/7291/6237/1634/8321/5500/1277/1499/7099/2099/287/22808/8324/5600/5295/7855/1278/10451/2260/3690/6383/7430/9475",38
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","26/785","117/9392",0.222222222222222,2.65874026893135,5.45229325971131,2.91865209669821e-06,0.000238053435177393,0.00019440476153285,"847/48/1892/38/4199/4329/3418/9104/8802/1431/3099/5095/128/2806/8803/7086/10873/3417/4190/5634/6472/5226/8801/2098/51/1738",26
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","15/785","47/9392",0.319148936170213,3.81840357772056,5.84961528795476,3.51111261323588e-06,0.000238053435177393,0.00019440476153285,"32/125/5105/217/38/4199/126/3945/224/128/10873/2739/4190/223/1738",15
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","37/785","203/9392",0.182266009852217,2.18069091023187,5.13588109078628,4.34521863666121e-06,0.000241783341176514,0.000197450764568928,"858/857/3679/2012/1282/3910/7450/55742/3479/3725/5728/1956/2335/3915/6654/1284/596/3672/2321/5500/1277/1499/2534/3913/29780/3908/5295/23396/1278/3691/10451/329/3690/6696/2909/10398/9475",37
"Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","12/785","32/9392",0.375,4.48662420382166,5.96632700421948,5.02424927035205e-06,0.000241783341176514,0.000197450764568928,"32/1892/4329/3945/8802/5095/8803/55862/18/8801/51/1738",12
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","14/785","43/9392",0.325581395348837,3.89536364982966,5.74671438204722,5.70580156168764e-06,0.000241783341176514,0.000197450764568928,"125/33/2180/217/10449/3033/1892/38/126/224/128/2181/223/51",14
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","16/785","59/9392",0.271186440677966,3.24456439598402,5.22290696396172,1.7379722224318e-05,0.000654636203782646,0.000534604321052122,"2167/5346/63924/5140/5733/11145/11343/8660/364/2770/51099/4881/3991/112/57104/5295",16
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","20/785","89/9392",0.224719101123595,2.68861375509912,4.8336885348668,3.38211963697938e-05,0.00114653855693601,0.000936313120553239,"948/6382/3679/6385/1282/3910/7450/2335/3915/1284/3672/3161/1277/961/3913/3908/1278/3691/3690/6696",20
